coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date
Bitcoin,BTC,40851.38,0.001,0,-0.027,20476118020,7.76077E+11,17-03-2022
Ethereum,ETH,2824.42,0.004,0.029,0.034,13640408875,3.39077E+11,17-03-2022
Tether,USDT,1,0,0,0,44131404071,80205879149,17-03-2022
BNB,BNB,389.61,0.002,0.016,-0.01,1425353937,65561157431,17-03-2022
USD Coin,USDC,0.999739,-0.001,0,0,3569816487,52596068421,17-03-2022
XRP,XRP,0.796926,0.006,0.016,0.038,3642947060,38342363497,17-03-2022
Terra,LUNA,87.64,0,-0.02,-0.118,1555363904,32256574723,17-03-2022
Solana,SOL,90.62,0.016,0.058,0.028,1921988835,29270600684,17-03-2022
Cardano,ADA,0.838396,0.002,0.018,-0.013,784436216,26891734979,17-03-2022
Avalanche,AVAX,79.78,0.002,0.083,0.027,1386901493,21282040395,17-03-2022
Polkadot,DOT,18.88,0.001,0.02,0.056,665211395,20667608398,17-03-2022
Binance USD,BUSD,0.999538,-0.001,-0.002,-0.001,3713594658,17812484632,17-03-2022
Dogecoin,DOGE,0.11685,0.001,0.011,-0.038,364002532,15509604862,17-03-2022
TerraUSD,UST,1,0,-0.001,0.002,566868455,15173316373,17-03-2022
Shiba Inu,SHIB,2.24E-05,-0.002,-0.002,-0.063,435900196,12283647613,17-03-2022
Wrapped Bitcoin,WBTC,40815.68,-0.001,0,-0.028,257062192,11140930359,17-03-2022
Cronos,CRO,0.40337,-0.001,0.004,-0.013,64923668,10212443722,17-03-2022
Polygon,MATIC,1.46,0.009,0.012,-0.031,584477121,10031137796,17-03-2022
Dai,DAI,1,0,0.001,0,233460109,9445061382,17-03-2022
Cosmos Hub,ATOM,28.48,0.005,-0.012,-0.053,504577854,8263048473,17-03-2022
Litecoin,LTC,110.64,-0.002,0.011,0.037,541046078,7733039423,17-03-2022
Lido Staked Ether,STETH,2824.49,0.005,0.03,0.035,6987747,7293486788,17-03-2022
Near,NEAR,10.9,0.003,0.026,-0.063,392643350,7152121268,17-03-2022
Chainlink,LINK,14.54,0.003,0.009,0.037,555565709,6790110728,17-03-2022
TRON,TRX,0.060963261,0.001,0.004,0.002,431830570,6203344202,17-03-2022
FTX Token,FTT,43.02,0.001,0.016,0.004,63018114,5917599044,17-03-2022
LEO Token,LEO,6.23,0.004,0.044,0.068,1071771,5840393387,17-03-2022
Bitcoin Cash,BCH,297.65,0.002,0.006,-0.035,1192569491,5652413614,17-03-2022
OKB,OKB,19.98,0.001,0.049,0.075,170494374,5198998452,17-03-2022
